City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,24.81,79,29,6.68,PN,1738683193
1,blackmans bay,-43.0167,147.3167,12.07,77,1,0.89,AU,1738683194
2,waitangi,-43.9535,-176.5597,13.37,70,62,14.06,NZ,1738683195
3,tura,25.5198,90.2201,16.97,57,24,1.64,IN,1738683197
4,stanley,54.868,-1.6985,8.07,75,20,5.14,GB,1738683198
5,tshabong,-26.05,22.45,36.85,14,83,5.62,BW,1738683199
6,wailua homesteads,22.0669,-159.378,17.7,88,0,3.09,US,1738683201
7,ust-nera,64.5667,143.2,-41.16,94,30,0.63,RU,1738683202
8,anadyr,64.75,177.4833,-24.72,75,100,8.0,RU,1738683203
9,chonchi,-42.6128,-73.8092,19.14,50,26,2.06,CL,1738683204
10,invercargill,-46.4,168.35,8.9,92,33,1.41,NZ,1738683205
11,st. john's,47.5649,-52.7093,2.76,91,100,10.8,CA,1738682943
12,albany,42.6001,-73.9662,0.36,68,44,6.5,US,1738683098
13,mejit,10.2753,170.8646,26.68,81,44,10.47,MH,1738683209
14,daru,-9.0763,143.2092,26.14,84,100,4.82,PG,1738683210
15,jiazi,22.8779,116.067,12.53,73,16,6.6,CN,1738683211
16,fortuna,40.5982,-124.1573,3.53,97,100,2.06,US,1738683212
17,port mathurin,-19.6833,63.4167,27.4,78,91,3.62,MU,1738683213
18,badger,64.8,-147.5333,-17.05,80,75,0.0,US,1738683214
19,fada,7.25,4.0667,37.37,24,78,1.54,NG,1738683215
20,toliara,-23.35,43.6667,28.7,62,7,5.28,MG,1738683217
21,severo-yeniseyskiy,60.3725,93.0408,-24.84,100,91,1.47,RU,1738683219
22,saipan,15.1355,145.701,27.39,78,0,4.63,MP,1738683220
23,obsharovka,53.125,48.8531,-3.68,91,100,5.48,RU,1738683221
24,princeville,45.7668,-61.2985,-1.88,80,20,10.29,CA,1738683222
25,marquette,46.5333,-87.6335,-12.59,77,100,3.13,US,1738683223
26,praia da vitoria,38.7333,-27.0667,14.14,88,75,6.17,PT,1738683224
27,nasir,15.5894,32.5634,32.19,18,0,4.63,SD,1738683225
28,codrington,-38.2667,141.9667,15.96,59,100,7.13,AU,1738683226
29,grand gaube,-20.0064,57.6608,28.54,84,13,3.99,MU,1738683227
30,kone,-21.0595,164.8658,24.37,95,100,1.81,NC,1738683228
31,iqaluit,63.7506,-68.5145,-27.15,69,100,1.54,CA,1738682959
32,tsiombe,-25.3,45.4833,24.34,78,27,6.69,MG,1738683231
33,san patricio,28.017,-97.5169,20.97,86,79,3.99,US,1738683232
34,mount pearl,47.5166,-52.7813,2.3,93,100,10.8,CA,1738683233
35,aasiaat,68.7098,-52.8699,-22.25,96,100,4.11,GL,1738683234
36,tiksi,71.6872,128.8694,-30.68,92,100,0.96,RU,1738683235
37,palikir - national government center,6.9248,158.1611,27.41,74,100,3.09,FM,1738683236
38,mahajanga,-15.7167,46.3167,24.01,100,40,1.54,MG,1738683237
39,bangor,54.6534,-5.669,8.73,78,75,8.23,GB,1738683238
40,geraldton,-28.7667,114.6,24.23,83,0,5.66,AU,1738683239
41,luderitz,-26.6481,15.1594,22.79,63,21,9.38,NA,1738683240
42,bethel,41.3712,-73.414,5.33,66,75,4.47,US,1738682987
43,puerto ayora,-0.7393,-90.3518,25.86,94,21,1.34,EC,1738683243
44,sinabang,2.4803,96.3801,27.31,76,99,0.59,ID,1738683244
45,college,64.8569,-147.8028,-17.01,71,75,0.0,US,1738683245
46,west island,-12.1568,96.8225,27.99,94,100,3.6,CC,1738683246
47,stung treng,13.5259,105.9683,22.81,61,37,3.68,KH,1738683248
48,isafjordur,66.0755,-23.124,-0.98,64,75,7.72,IS,1738683249
49,nar'yan-mar,67.6713,53.087,-10.25,92,94,5.18,RU,1738683250
50,yellowknife,62.456,-114.3525,-17.55,97,100,4.12,CA,1738682973
51,bilibino,68.0546,166.4372,-41.97,100,100,0.7,RU,1738683252
52,kimbe,-5.5502,150.1429,24.18,96,100,1.61,PG,1738683254
53,margate,51.3813,1.3862,8.26,80,15,0.89,GB,1738683127
54,bani walid,31.7566,13.9942,16.62,27,0,2.57,LY,1738683256
55,ushuaia,-54.8,-68.3,8.81,66,40,1.54,AR,1738683258
56,juruti,-2.1522,-56.0922,25.69,91,97,2.16,BR,1738683259
57,san miguel,13.4833,-88.1833,26.81,68,0,1.54,SV,1738682656
58,bichura,50.5881,107.6022,-15.29,94,100,5.7,RU,1738683261
59,nabire,-3.3667,135.4833,23.8,90,100,1.5,ID,1738683262
60,dihok,36.8695,42.994,8.4,36,100,1.42,IQ,1738683263
61,vila franca do campo,37.7167,-25.4333,15.23,88,100,2.98,PT,1738683264
62,amga,60.8953,131.9608,-40.77,100,59,1.1,RU,1738683265
63,yerofey pavlovich,53.9667,121.9667,-32.25,100,41,1.62,RU,1738683266
64,port-aux-francais,-49.35,70.2167,5.84,98,100,10.87,TF,1738683268
65,grytviken,-54.2811,-36.5092,5.56,70,68,11.99,GS,1738683269
66,ko pha ngan,9.7578,100.0291,25.38,74,1,6.26,TH,1738683270
67,longyearbyen,78.2186,15.6401,-3.09,80,40,10.29,SJ,1738683271
