City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,valparaiso,-33.0393,-71.6273,22.78,45,0,6.17,CL,1738863224
1,waitangi,-43.9535,-176.5597,12.12,82,100,0.45,NZ,1738863266
2,port-aux-francais,-49.35,70.2167,7.71,91,100,12.61,TF,1738862679
3,ushuaia,-54.8,-68.3,8.81,76,75,12.86,AR,1738863269
4,brookings,44.3114,-96.7984,-6.97,62,0,12.86,US,1738863270
5,keflavik,64.0049,-22.5624,1.24,80,75,14.92,IS,1738863272
6,klyuchi,52.2667,79.1667,-18.79,90,5,3.75,RU,1738863273
7,adamstown,-25.066,-130.1015,24.97,78,37,5.46,PN,1738863274
8,fale old settlement,-9.3852,-171.2468,28.27,76,86,6.96,TK,1738863275
9,uturoa,-16.7333,-151.4333,27.19,78,25,5.84,PF,1738863276
10,bako,5.7833,36.5667,22.59,31,98,2.46,ET,1738863277
11,udachny,66.4167,112.4,-21.44,100,98,1.56,RU,1738863278
12,smithers,54.7804,-127.1743,-21.82,84,0,0.0,CA,1738863121
13,wailua homesteads,22.0669,-159.378,16.44,100,0,2.06,US,1738863281
14,ayios konstandinos,38.6333,21.4,5.84,76,10,1.43,GR,1738863282
15,port elizabeth,-33.918,25.5701,20.73,81,100,3.13,ZA,1738863283
16,khandyga,62.6667,135.6,-43.54,100,91,0.21,RU,1738863284
17,bredasdorp,-34.5322,20.0403,19.81,69,33,5.2,ZA,1738863259
18,east london,-33.0153,27.9116,19.64,91,100,4.5,ZA,1738863287
19,chui,-33.6971,-53.4616,27.69,48,23,6.92,UY,1738863289
20,tiksi,71.6872,128.8694,-30.88,99,13,3.61,RU,1738863290
21,invercargill,-46.4,168.35,6.68,94,31,0.87,NZ,1738863291
22,ribeira grande,38.5167,-28.7,19.22,88,40,5.36,PT,1738863292
23,stanley,54.868,-1.6985,3.07,87,0,1.03,GB,1738863293
24,fort bragg,35.139,-79.006,14.85,67,20,4.12,US,1738863294
25,puerto natales,-51.7236,-72.4875,10.25,53,75,9.26,CL,1738863295
26,whitehorse,60.7161,-135.0538,-13.57,92,75,2.57,CA,1738863297
27,iqaluit,63.7506,-68.5145,-29.06,61,20,1.03,CA,1738863298
28,longyearbyen,78.2186,15.6401,-0.09,80,75,11.32,SJ,1738863299
29,jiayuguan,39.8167,98.3,-10.81,63,0,1.37,CN,1738863300
30,aasiaat,68.7098,-52.8699,-29.89,100,99,3.02,GL,1738863301
31,shingu,33.7333,135.9833,0.69,67,84,3.51,JP,1738863302
32,thompson,55.7435,-97.8558,-12.91,78,100,3.6,CA,1738863303
33,talnakh,69.4865,88.3972,-21.02,98,100,4.18,RU,1738863305
34,flying fish cove,-10.4217,105.6791,25.82,94,100,5.14,CX,1738863306
35,yellowknife,62.456,-114.3525,-19.71,71,75,4.12,CA,1738863308
36,hovd,48.0056,91.6419,-19.87,78,0,1.72,MN,1738863218
37,benjamin constant,-4.3831,-70.0311,29.07,89,75,2.06,BR,1738863310
38,college,64.8569,-147.8028,-8.01,86,100,0.0,US,1738863311
39,grytviken,-54.2811,-36.5092,4.15,93,97,1.24,GS,1738863312
40,yanjiang,30.1211,104.6481,6.94,84,94,1.91,CN,1738863313
41,west island,-12.1568,96.8225,27.99,83,40,8.75,CC,1738863314
42,constantia,44.1833,28.65,0.39,64,94,7.84,RO,1738863315
43,achinsk,56.2694,90.4993,-25.85,100,96,0.76,RU,1738863316
44,new norfolk,-42.7826,147.0587,13.84,95,18,1.26,AU,1738863318
45,puerto ayora,-0.7393,-90.3518,26.42,90,4,3.13,EC,1738863319
46,blackmans bay,-43.0167,147.3167,14.07,89,36,1.67,AU,1738863320
47,los arabos,22.7281,-80.7214,29.94,36,9,6.73,CU,1738863321
48,mitu,1.1983,-70.1733,29.83,63,82,1.13,CO,1738863323
49,jamestown,42.097,-79.2353,2.23,98,100,8.23,US,1738863254
50,saint-louis,16.3333,-15.0,30.46,6,0,4.78,SN,1738863325
51,valdivia,-39.8142,-73.2459,22.05,47,0,3.26,CL,1738862856
52,atafu village,-8.5421,-172.5159,28.0,77,60,7.14,TK,1738863327
53,utrik,11.2278,169.8474,25.72,80,85,7.57,MH,1738863329
54,gebeit,21.0667,36.3167,16.71,68,18,3.96,SD,1738863239
55,anadyr,64.75,177.4833,-40.56,64,0,5.81,RU,1738863331
56,rio tuba,8.5061,117.4317,25.52,88,100,4.96,PH,1738863332
57,karratha,-20.7377,116.8463,30.92,72,87,9.59,AU,1738863336
58,bethel,41.3712,-73.414,1.23,88,100,1.54,US,1738863263
59,el calafate,-50.3408,-72.2768,10.84,46,4,8.14,AR,1738863338
60,san justo,-30.7891,-60.5919,39.07,16,0,3.38,AR,1738863339
61,margaret river,-33.95,115.0667,17.2,79,62,5.02,AU,1738863340
62,gorontalo,0.5412,123.0595,23.79,96,100,1.47,ID,1738863343
63,neryungri,56.6709,124.6491,-30.04,96,100,2.87,RU,1738863344
64,tadine,-21.55,167.8833,25.55,88,100,8.15,NC,1738863345
65,puerto aysen,-45.4,-72.7,12.94,80,94,2.69,CL,1738863346
66,quarai,-30.3875,-56.4514,39.83,23,0,5.52,BR,1738863347
67,edinburgh of the seven seas,-37.0676,-12.3116,17.75,92,54,7.57,SH,1738863348
68,moranha,27.1833,94.9333,18.39,61,37,0.87,IN,1738863350
69,uthal,25.8072,66.6219,19.54,19,1,1.03,PK,1738863351
70,port mathurin,-19.6833,63.4167,27.96,78,4,5.51,MU,1738863352
71,tazovsky,67.4667,78.7,-18.37,100,92,3.07,RU,1738863353
72,lebu,-37.6167,-73.65,18.0,67,0,9.18,CL,1738863354
73,embi,48.8264,58.1442,-9.89,79,16,8.31,KZ,1738863355
74,badger,64.8,-147.5333,-8.05,86,100,0.0,US,1738863356
75,cambria,35.5641,-121.0808,11.7,93,96,4.92,US,1738863245
76,galappo,-4.2667,35.85,20.12,72,86,1.74,TZ,1738863358
77,corralillo,22.9819,-80.5856,26.41,56,40,8.07,CU,1738863360
78,four corners,28.3329,-81.6474,28.34,60,17,2.24,US,1738863361
79,ohara,35.25,140.3833,4.32,38,100,3.56,JP,1738863362
80,simoca,-27.2627,-65.3565,35.9,36,21,3.35,AR,1738863363
81,sao vicente,-23.9631,-46.3919,34.98,26,40,3.6,BR,1738863246
82,albany,42.6001,-73.9662,-1.88,90,100,1.34,US,1738863337
83,tupiza,-21.45,-65.7167,20.82,27,19,8.0,BO,1738863367
84,san patricio,28.017,-97.5169,24.97,65,100,4.95,US,1738863368
85,rong'an,26.1247,119.1214,9.62,93,100,0.75,CN,1738863370
86,bilibino,68.0546,166.4372,-34.97,92,19,1.49,RU,1738863371
87,geraldton,-28.7667,114.6,23.23,83,20,3.6,AU,1738863372
88,hithadhoo,-0.6,73.0833,27.31,74,64,2.53,MV,1738863373
89,tolanaro,-25.0319,46.9987,26.04,89,75,4.12,MG,1738863374
90,taoudenni,22.6783,-3.9836,20.31,15,0,5.95,ML,1738863375
91,tamanrasset,22.785,5.5228,20.95,21,40,3.09,DZ,1738863376
92,saint-joseph,-21.3667,55.6167,27.21,89,36,0.9,RE,1738863377
93,levokumskoye,44.8219,44.6606,0.5,76,76,4.11,RU,1738863378
94,lihue,21.9789,-159.3672,16.77,100,0,2.06,US,1738863379
95,rongelap,11.1635,166.8941,26.22,76,68,7.67,MH,1738863381
96,carnarvon,-24.8667,113.6333,26.88,70,6,6.88,AU,1738863382
97,mar del plata,-38.0023,-57.5575,28.62,51,40,5.14,AR,1738863383
98,najran,17.4924,44.1277,20.59,19,0,1.68,SA,1738863384
99,qaqortoq,60.7167,-46.0333,-16.39,69,87,4.53,GL,1738863385
100,bikenibeu village,1.3673,173.1241,26.44,84,100,6.81,KI,1738863386
101,puerto armuelles,8.2833,-82.8667,28.38,61,7,2.24,PA,1738863387
102,papatowai,-46.5619,169.4708,9.22,90,27,3.51,NZ,1738863389
103,bayanaul,50.7889,75.6956,-21.29,100,100,1.01,KZ,1738863391
104,port alfred,-33.5906,26.891,21.77,84,100,1.79,ZA,1738863392
105,remire-montjoly,4.9167,-52.2667,25.15,89,100,4.33,GF,1738863349
106,luanda,-8.8368,13.2343,26.78,76,91,5.17,AO,1738863180
107,olonkinbyen,70.9221,-8.7187,1.74,88,100,18.91,SJ,1738863395
108,greenland,43.0362,-70.8328,-0.64,94,100,0.45,US,1738863397
109,cabo san lucas,22.8909,-109.9124,23.62,43,0,2.33,MX,1738863136
110,brewton,31.1052,-87.0722,25.35,79,91,4.06,US,1738863121
111,jatai,-17.8814,-51.7144,27.56,58,100,2.48,BR,1738863401
112,cozumel,20.5083,-86.9458,28.3,65,40,6.17,MX,1738863116
113,mali,12.079,-12.2982,25.79,12,43,3.64,GN,1738863403
114,vila velha,-20.3297,-40.2925,30.97,55,20,6.69,BR,1738862853
115,petropavlovsk-kamchatsky,53.0452,158.6483,-3.67,54,75,3.0,RU,1738863405
116,cockburn town,21.4612,-71.1419,24.98,76,33,9.51,TC,1738863406
117,bubaque,11.2833,-15.8333,25.71,61,5,5.67,GW,1738863408
118,christchurch,-43.5333,172.6333,13.51,84,100,2.06,NZ,1738862860
119,kolonia,50.9333,6.95,6.09,80,100,1.54,DE,1738863373
120,tongliao,43.6125,122.2653,-17.18,70,99,5.83,CN,1738863411
121,labytnangi,66.6572,66.4183,-15.93,99,100,2.48,RU,1738863412
122,broome,42.2506,-75.833,1.6,84,100,6.71,US,1738863413
123,turkestan,43.3333,68.25,3.03,54,0,2.89,KZ,1738863414
124,namdrik,5.5994,168.1028,27.56,77,65,10.04,MH,1738863415
125,pozo del molle,-32.0186,-62.9198,36.86,18,9,3.19,AR,1738863416
